od600nm,relative_shift_time_hr,relative_shift_od600
0.08,-1.4,0.341151385927505
0.102,-1.08333333333333,0.434968017057569
0.125,-0.833333333333333,0.533049040511727
0.146,-0.633333333333333,0.622601279317697
0.176,-0.45,0.750533049040512
0.201,-0.3,0.857142857142857
0.226,-0.15,0.963752665245203
0.243,0.05,1.0362473347548
0.243,0.383333333333333,1.0362473347548
0.239,0.683333333333333,1.01918976545842
0.239,0.933333333333333,1.01918976545842
0.242,1.18333333333333,1.0319829424307
0.241,1.43333333333333,1.02771855010661
0.241,1.81666666666667,1.02771855010661
0.247,2.11666666666667,1.05330490405117
0.25,2.45,1.06609808102345
0.26,2.93333333333333,1.10874200426439
0.279,3.35,1.18976545842217
0.299,3.65,1.27505330490405
0.343,4.23333333333333,1.46268656716418