medium_preshift,medium_postshift,growth_rate_preshift_hr,growth_rate_postshift_hr,lag_time_hr,strain
glucose,acetate,0.948,0.481,4.83,NCM3722
mannitol,acetate,0.882,0.495,4.49,NCM3722
maltose,acetate,0.804,0.506,2.60,NCM3722
glycerol,acetate,0.726,0.504,1.70,NCM3722
galactose,acetate,0.594,0.505,1.23,NCM3722
mannose,acetate,0.486,0.504,0.92,NCM3722
glucose-6-phosphate,pyruvate,1.020,0.621,3.25,NCM3722
glucose,pyruvate,0.948,0.632,1.44,NCM3722
mannitol,pyruvate,0.900,0.636,1.21,NCM3722
maltose,pyruvate,0.786,0.634,0.92,NCM3722
glycerol,pyruvate,0.702,0.631,0.460,NCM3722
galactose,pyruvate,0.594,0.624,0.37,NCM3722
mannose,pyruvate,0.492,0.646,0.43,NCM3722
glucose-6-phosphate,glycerol,1.014,0.747,1.01,NCM3722
glucose,glycerol,0.978,0.728,0.80,NCM3722
mannitol,glycerol,0.906,0.724,0.79,NCM3722
maltose,glycerol,0.798,0.700,0.80,NCM3722
galactose,glycerol,0.582,0.686,0.69,NCM3722
mannose,glycerol,0.498,0.672,0.75,NCM3722
glucose,succinate,0.936,0.696,1.62,NCM3722
mannitol,succinate,0.900,0.681,1.67,NCM3722
maltose,succinate,0.792,0.700,0.88,NCM3722
glycerol,succinate,0.714,0.691,0.520,NCM3722
galactose,succinate,0.504,0.716,0.23,NCM3722