nu_max_preshift,nu_max_postshift,lag_time_hr,t_shift,min_gamma,preshift_growth_rate_hr,postshift_growth_rate_hr,useful_fraction_pre,useful_fraction_post
4,0.4,22.674698512611773,1.9,0.0386238494736378,1.0719818106589798,0.1571622992218915,1,1
4,0.8,12.064917161231083,1.9,0.07785557898765887,1.0719883265792498,0.2965200800514428,1,1
4,1.2000000000000002,8.554893413635687,1.9,0.11766535108392155,1.071997994749173,0.4230538154336011,1,1
4,1.6,6.827772162298684,1.9,0.1581225465571439,1.072007656979656,0.5392476510699115,1,1
4,2.0,5.7967321815968695,1.9,0.1991474704482743,1.0720173268800124,0.6466253554076686,1,1
4,2.4,5.118110197084817,1.9,0.23968341826070247,1.0720269946489946,0.7463079297085732,1,1
4,2.8000000000000003,4.637058938329304,1.9,0.28053315552294633,1.0720366606499891,0.8392165370868647,1,1
4,3.2,4.281096422760309,1.9,0.3219084833055023,1.0720463289837845,0.9260691093706477,1,1
4,3.6,4.007589092404503,1.9,0.3636519385254256,1.0720559961517329,1.0074949368307173,1,1
4,4.0,3.78704781119625,1.9,0.4060515787693826,1.0720656616783495,1.0839880881621151,1,1
6,0.6000000000000001,15.512083990599258,1.4666666666666666,0.042710926934446364,1.393178111807234,0.228265318907075,1,1
6,1.2000000000000002,8.301829382030869,1.4666666666666666,0.08588885201404849,1.3931892912588708,0.4229851093592134,1,1
6,1.8000000000000003,5.922238740617178,1.4666666666666666,0.12999026265740915,1.3932004681011951,0.5939176254743225,1,1
6,2.4000000000000004,4.748168798000611,1.4666666666666666,0.17462447860454813,1.3932116453480727,0.7462723568422568,1,1
6,3.0000000000000004,4.056706456183382,1.4666666666666666,0.22018004844608546,1.3932228200856984,0.8833257009601986,1,1
6,3.6000000000000005,3.595284926970347,1.4666666666666666,0.26701708124374995,1.3932340000926087,1.0074391884624747,1,1
6,4.200000000000001,3.2770857901208608,1.4666666666666666,0.3137976694122153,1.3932451730604882,1.1204934344231683,1,1
6,4.800000000000001,3.036340938844681,1.4666666666666666,0.3615497616803956,1.3932563531207105,1.2239810576981311,1,1
6,5.4,2.8559146329261247,1.4666666666666666,0.4097847096024701,1.3932675280396514,1.3190959661684156,1,1
6,6.0,2.711167522536337,1.4666666666666666,0.4582932393494137,1.3932787023800945,1.4068377642154333,1,1
8,0.8,11.876998214633938,1.25,0.04614005502710775,1.6419117720993566,0.2957824167047379,1,1
8,1.6,6.395793789883175,1.25,0.09338184380877128,1.6418430481819628,0.539129611121006,1,1
8,2.4000000000000004,4.5828644165201995,1.25,0.1412123666675841,1.641855015057567,0.7462289961221574,1,1
8,3.2,3.7006246727153123,1.2333333333333334,0.18887356526221452,1.6418669651510103,0.9259913049303741,1,1
8,4.0,3.1725437676425923,1.2333333333333334,0.23728656175744167,1.6418789227107462,1.0839114108095176,1,1
8,4.8,2.8303039711919378,1.2333333333333334,0.28612493550187257,1.6418908890093773,1.223947445556432,1,1
8,5.6000000000000005,2.591724272755579,1.2333333333333334,0.33570682081703423,1.64190284866615,1.3490856031935663,1,1
8,6.4,2.4124359952615504,1.2333333333333334,0.3861515874187531,1.6419148027630686,1.461672026560102,1,1
8,7.2,2.2791133508398542,1.2333333333333334,0.4371910598932186,1.6419267692625465,1.5635567226423843,1,1
8,8.0,2.1715580771097263,1.2333333333333334,0.4883417747616827,1.6419387368449865,1.6562374768889323,1,1
10,1.0,9.664859331945442,1.1166666666666667,0.049238581114818866,1.840615741530695,0.36012315068090045,1,1
10,2.0,5.240793359337172,1.1166666666666667,0.09911622985065474,1.8406278744407445,0.6464715925458521,1,1
10,3.0,3.7746722634323664,1.1,0.1495677309752324,1.8406400143237966,0.8832374663101562,1,1
10,4.0,3.0634200015497797,1.1,0.20107083264063227,1.8406521474189768,1.0838828903845028,1,1
10,5.0,2.645576262657917,1.1,0.2532679895600249,1.8406642816608227,1.2564971981669093,1,1
10,6.0,2.371277141382045,1.1,0.30634861670173374,1.8406764229176196,1.4068183938765886,1,1
10,7.0,2.1765628619965853,1.1,0.3602448392355556,1.84068855435309,1.53897805126021,1,1
10,8.0,2.0383040127794896,1.1,0.4150160548609285,1.8407006913658064,1.6562074407494891,1,1
10,9.0,1.9300774090776285,1.1,0.4704828989215844,1.8407128343487693,1.7609479732735018,1,1
10,10.0,1.8446330297271443,1.1,0.5269688966631773,1.840630121842872,1.8551305072819146,1,1
12,1.2000000000000002,8.175963577310567,1.0166666666666666,0.05180112446914364,2.003250677282167,0.42160610045767455,1,1
12,2.4000000000000004,4.464099435375231,1.0166666666666666,0.10497714550771406,2.0032630472814654,0.746133245614931,1,1
12,3.6000000000000005,3.2346689385349157,1.0166666666666666,0.15955952537290483,2.0032754052209003,1.0073313053705084,1,1
12,4.800000000000001,2.6425866664555935,1.0166666666666666,0.2155335913219587,2.0032877551226136,1.2238769325766676,1,1
12,6.000000000000001,2.2900731523049638,1.0166666666666666,0.27293481344567005,2.003300116962088,1.406768738494011,1,1
12,7.200000000000001,2.0623924431485516,1.0166666666666666,0.3316970775975897,2.0033124720770337,1.5635145163804023,1,1
12,8.400000000000002,1.9015780410848215,1.0166666666666666,0.3920820921648561,2.0033248376752715,1.6994495992480034,1,1
12,9.600000000000001,1.7859087954959803,1.0166666666666666,0.4539484550070767,2.0033371782861535,1.8185865551134321,1,1
12,10.8,1.6970175412914,1.0166666666666666,0.5127303499075148,2.00334954913361,1.9239233130792341,1,1
12,12.0,1.6258656197360355,1.0166666666666666,0.5694554211047212,2.0033618808494835,2.017739667218203,1,1
14,1.4000000000000001,7.117810205471108,0.95,0.054397556517415305,2.1391127443232705,0.48070099313737796,1,1
14,2.8,3.9058519966163017,0.95,0.11026115295747577,2.1391250148917353,0.839008790298209,1,1
14,4.2,2.846078562241425,0.95,0.16769801677448512,2.139137275163879,1.1203660471314856,1,1
14,5.6,2.335425661807574,0.95,0.22687054639868265,2.139149577717834,1.3490032020388898,1,1
14,7.0,2.0361239655741006,0.95,0.2875190070473399,2.1391618323337473,1.538931895559681,1,1
14,8.4,1.8402625820149163,0.95,0.34980519002254634,2.1391741181224933,1.6994360255015086,1,1
14,9.799999999999999,1.703405955276605,0.95,0.41364252749251484,2.139186374721757,1.8370263475976651,1,1
14,11.2,1.6059090739284843,0.95,0.47920291275934584,2.139198618662501,1.9563383005701251,1,1
14,12.6,1.5294811716028898,0.95,0.5464699767585074,2.1392109157312786,2.060925365850443,1,1
14,14.0,1.4698337154286305,0.95,0.6156270202934977,2.1392231676536477,2.153337907505279,1,1
16,1.6,6.32270761936007,0.9,0.05673973818586404,2.2544501249782853,0.5375897896110895,1,1
16,3.2,3.488062196450728,0.9,0.1152135121109158,2.2544620917168,0.9258326444172498,1,1
16,4.800000000000001,2.5555758460600364,0.9,0.17539729320829453,2.2544740611673233,1.2238263123819646,1,1
16,6.4,2.106706505612243,0.9,0.23742928736868765,2.2544860437974417,1.4615775237147786,1,1
16,8.0,1.8454470894661212,0.9,0.3012186797184958,2.25449799498152,1.6561343441586212,1,1
16,9.6,1.6740260835592617,0.9,0.36685071757357546,2.2545099543885803,1.818548252957161,1,1
16,11.200000000000001,1.5554005236215884,0.9,0.4347619155662894,2.2545219293810677,1.956317807513465,1,1
16,12.8,1.4702575012992947,0.9,0.5037579829741253,2.2545338977944493,2.074781699362962,1,1
16,14.4,1.4041138436613168,0.9,0.5752600767855008,2.2545458652282613,2.1778014845479765,1,1
16,16.0,1.3527781123760805,0.9,0.6491712991042695,2.2544346832234274,2.268270562447327,1,1
18,1.8,5.608892995019296,0.8666666666666667,0.05925062417169905,2.353562574691878,0.5814840368104961,1,1
18,3.5999999999999996,3.15591085450155,0.8666666666666667,0.12099520657581977,2.353574335860647,1.0072278300318278,1,1
18,5.3999999999999995,2.3294085461574303,0.8666666666666667,0.18343733164758708,2.3535861149882606,1.3189236579947279,1,1
18,7.199999999999999,1.928970634007475,0.8666666666666667,0.2450483145397619,2.3535979082877017,1.5634432820715711,1,1
18,9.0,1.697295957391879,0.8666666666666667,0.3073554581860001,2.353609678273755,1.7608500877648119,1,1
18,10.8,1.5458947365243492,0.8666666666666667,0.3704661016540688,2.3536214336182453,1.92384655722545,1,1
18,12.6,1.44151377563771,0.8666666666666667,0.4352328391543583,2.3536332169749254,2.0608818275405194,1,1
18,14.399999999999999,1.364952918450317,0.8666666666666667,0.5001406890676652,2.3536450039060313,2.177778142820799,1,1
18,16.2,1.3067734824778843,0.8666666666666667,0.5662245924431941,2.3536567625756875,2.2787908029454487,1,1
18,18.0,1.2616153769586267,0.8666666666666667,0.6341177289970925,2.3536685258956243,2.367006975338631,1,1
20,2.0,5.087557138889544,0.8333333333333334,0.061417973147121795,2.439800456511677,0.6302671793822289,1,1
20,4.0,2.8916833772518786,0.8333333333333334,0.12533594219159971,2.4398119498430564,1.0837087684122695,1,1
20,6.0,2.1444025348892097,0.8333333333333334,0.19181750511233492,2.439823458114812,1.4066783054040704,1,1
20,8.0,1.7868573739359221,0.8333333333333334,0.26085365373373015,2.4398349509735,1.656086929690828,1,1
20,10.0,1.5781514605908433,0.8333333333333334,0.3327795971917407,2.4398464444532966,1.8550394697531545,1,1
20,12.0,1.4428889692848328,0.8333333333333334,0.39764425733123854,2.439857946502502,2.0176649066617465,1,1
20,14.0,1.3494777011859116,0.8333333333333334,0.46387332395527026,2.439869436545943,2.153292697987155,1,1
20,16.0,1.281098732030725,0.8333333333333334,0.5299302977386261,2.439880928248002,2.268248724315514,1,1
20,18.0,1.2285373004940174,0.8333333333333334,0.5970436934021367,2.4398924130729327,2.3670055336184443,1,1
20,20.0,1.1890160397453235,0.8333333333333334,0.6644090031410046,2.4399039177732345,2.4528106280180912,1,1
22,2.2,4.796487479256678,0.8166666666666667,0.063129048425799,2.515577355705717,0.69651838975059,1,1
22,4.4,2.677106508689019,0.8166666666666667,0.12808023607700278,2.5155885131990487,1.1557366985983206,1,1
22,6.6000000000000005,1.9967043896325896,0.8166666666666667,0.19494327765170513,2.5155996447338813,1.4879090013196408,1,1
22,8.8,1.668802643669097,0.8166666666666667,0.2637485804605208,2.5156108247185163,1.740775792316802,1,1
22,11.0,1.4805781160330538,0.8166666666666667,0.33455944114616737,2.5156219826015724,1.9402004593889126,1,1
22,13.2,1.3590609717228679,0.8166666666666667,0.407342467563803,2.5156331346312553,2.101802441355342,1,1
22,15.400000000000002,1.2731087717494483,0.8166666666666667,0.4821849757356955,2.515644299144931,2.2356236859964596,1,1
22,17.6,1.212734190133764,0.8166666666666667,0.5588745608291724,2.5156554494173426,2.348370777209551,1,1
22,19.8,1.1655958882176747,0.8166666666666667,0.6381632596352393,2.5156666079230825,2.4447242712171717,1,1
22,22.0,1.1301165790538152,0.8166666666666667,0.7168715461128077,2.515681410376212,2.5281833699820675,1,1
